iteration_count, topic_count, cv_score, stability
500,5,0.5337853940181672,0.8680257056338806
500,6,0.532872830321816,0.893860399327089
500,7,0.5517225297160907,0.9019677021605864
500,8,0.5358070113627669,0.8911020594822624
500,9,0.5446883717371475,0.9070079571971555
500,10,0.5537639931619653,0.9114418209929045
500,11,0.5517206420714461,0.913576957385007
500,12,0.5607390004885267,0.9067337986326635
500,13,0.5483535997098604,0.9382402810600003
500,14,0.5730222969002258,0.9244334080910817
500,15,0.5542601841800165,0.9287937247173574
500,16,0.5548065433205238,0.9396865010061606
500,17,0.5396445386569911,0.9375512688206187
500,18,0.5552300739068555,0.9435385115209677
500,19,0.5362787871196386,0.9425704519561454
500,20,0.5405625912551535,0.9423457903179265
500,21,0.5278320172927768,0.9439703366726808
500,22,0.5417469745517187,0.945325798499173
500,23,0.5421034493312087,0.9521388860263541
500,24,0.5509019715077796,0.9520351385418466
500,25,0.5500948216788494,0.9497293938718087
500,26,0.5492351113929291,0.957777354687333
500,27,0.5521484902157604,0.9556887979029933
500,28,0.5273945410371004,0.9594528207144305
500,29,0.5513236693004601,0.9551891443905961
500,30,0.5388068139753667,0.95639346301369
500,31,0.5369442733817309,0.9632480685162198
500,32,0.5454810992785853,0.9596105806245124
500,33,0.5380202582753701,0.9663007786846796
500,34,0.5238852145547533,0.9583094069571942
500,35,0.5335378118635558,0.9685874115728161
500,36,0.5296408975055166,0.9671526712849382
500,37,0.5179877133470333,0.9637102222241539
500,38,0.5286800953947551,0.968100010087137
500,39,0.5241285751623214,0.9651592401612246
500,40,0.524715478241715,0.965488033494999
500,41,0.5193685408414913,0.9648473053064156
500,42,0.5196590818866927,0.9654513177290707
500,43,0.5157448457978532,0.9682295494016998
500,44,0.5395861067325769,0.9698611387465873
500,45,0.5221314448333997,0.9661010740714903
500,46,0.5192649475521145,0.9724563036112367
500,47,0.517047655172696,0.9724504411119257
500,48,0.5122590283309475,0.9761015249179591
500,49,0.5037777071506166,0.9714915102986119
500,50,0.504043510218109,0.972469677209615
1000,5,0.4792144148041326,0.8516112171364272
1000,6,0.4924957270208285,0.8711115646901035
1000,7,0.5110044407928104,0.8552258403872735
1000,8,0.5020860409264123,0.8756223347038622
1000,9,0.5030991382779092,0.8835743005820978
1000,10,0.5102050129020739,0.8895924173388053
1000,11,0.5260283452263615,0.9014498205803676
1000,12,0.5053044871973712,0.9064133986928103
1000,13,0.5287304921910667,0.9013116094564058
1000,14,0.5278130331601268,0.9252027126640131
1000,15,0.5281380029140842,0.9031244589603723
1000,16,0.5157964443394256,0.9118569982911445
1000,17,0.5405662579770175,0.9337484426175011
1000,18,0.5048604164243948,0.9265835056469733
1000,19,0.513987847211179,0.9190032863774105
1000,20,0.5141123181532601,0.9287452700378399
1000,21,0.5187942696634972,0.9364918707023969
1000,22,0.5264333117805884,0.9394424675771426
1000,23,0.5102997939313534,0.9381631974612186
1000,24,0.5139080888016273,0.9484308708863664
1000,25,0.51465687385171,0.9420464093869665
1000,26,0.5236748757178834,0.941948728945633
1000,27,0.5137905603446228,0.9448394497500103
1000,28,0.5150993380315472,0.9519992814939741
1000,29,0.5070583305476606,0.9464226990996499
1000,30,0.5169600529399683,0.949605249125373
1000,31,0.4964243983782686,0.9568595746164904
1000,32,0.5029531282580733,0.9537639672096907
1000,33,0.50555984633927,0.9510527197833698
1000,34,0.49138657058726654,0.9548374029297358
1000,36,0.5057437531273625,0.9555796070114952
1000,35,0.49510293945713624,0.9551883911459319
1000,37,0.49407093615725567,0.9557607230207845
1000,38,0.5018485299564641,0.9560775538350083
1000,39,0.49130312340434756,0.9615064680496923
1000,40,0.49015611853258856,0.9523399727637342
1000,41,0.4950690656159313,0.9607367939769962
1000,42,0.49039942836987127,0.9573013708407334
1000,43,0.4966630063595608,0.9562162371831893
1000,44,0.5132195511807713,0.9680347924349467
1000,45,0.4921509870485129,0.9580792877954896
1000,46,0.48824590147980595,0.9672516756511907
1000,48,0.48892036497843033,0.9575254142930223
1000,47,0.5027968366066926,0.9647618573084612
1000,49,0.4887870104734654,0.9736181787154805
1000,50,0.489348143602448,0.9702851340266199